fixture,rgr,registered_d1,registered_resolution_contrast,monotone_c1,monotone_aggregation_gap,normalized_rmse,cosine_distance,correlation_distance,normalized_dtw,absolute_mass_transport,onset_error,peak_time_error
exact_oracle,0.9999999900000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
positive_gain_0p70,0.699999993,2.7755575615628914e-17,0.0,2.7755575615628914e-17,0.0,0.30000000000000004,0.0,3.885780586188048e-16,0.3,0.0,0.0,0.0
within_width8_shift_1,0.7499999925000002,0.5,0.5,0.5,0.5,0.816496580927726,0.16666666666666669,0.168874172185431,0.0,0.043478260869565216,0.043478260869565216,0.043478260869565216
cross_width8_shift_7,0.4687499953125001,1.0,0.0,1.0,0.0,1.6087993330796875,0.6470588235294118,0.6556291390728477,0.0,0.30434782608695654,0.30434782608695654,0.30434782608695654
temporal_smoothing,0.8749999912500002,0.12499999999999999,0.12499999999999999,0.12499999999999999,0.12499999999999997,0.25,0.012049963525733398,0.012141035336349804,0.24999999999999994,0.010869565217391304,0.043478260869565216,0.0
rebound_deleted,0.6249999937500001,0.375,0.0,0.375,0.0,0.5144957554275266,0.07125353714372784,0.06258870341050199,0.37499999999999994,0.13043478260869565,0.0,0.0
sign_flip,0.9999999900000001,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.25,0.0,0.0,0.0
zero_response,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0
