backbone,mechanism,series_count,relative_sql_difference,dsa_estimate,dsa_lower,dsa_upper,rgr_estimate,rgr_lower,rgr_upper,shape_d1_estimate,shape_d1_lower,shape_d1_upper,hidden_gap_estimate,hidden_gap_lower,hidden_gap_upper,complete_cell_pass
chronos_2,biphasic_rebound,192,-0.5190028116,0.9732344623,0.9640721424,0.9812435987,0.7262375125,0.7016133342,0.7566248357,0.1845242635,0.1728521945,0.1951659440,0.0476427697,0.0416032045,0.0573560998,true
chronos_2,dispersed_delayed_pulse,192,-0.5144668457,0.9816650508,0.9743293331,0.9883868540,0.7903160416,0.7597193242,0.8226073357,0.1916170065,0.1822906213,0.2021289386,0.0662973138,0.0605068423,0.0760496417,true
chronos_2,rate_asymmetric_hysteresis,192,-0.2020296500,0.8880397121,0.8666870170,0.9077176050,0.6267678107,0.5774497898,0.6763250994,0.3618600170,0.3381164610,0.3949152206,0.0041491672,-0.0368063921,0.0417526216,false
chronos_2,two_covariate_synergy,192,-0.4056362404,0.7753162202,0.7319844370,0.8166267774,0.6454628453,0.6052451964,0.7124695269,0.3999530106,0.3437314487,0.4990314542,0.1042945567,0.0841230121,0.1252425285,false
timesfm_3,biphasic_rebound,192,-0.5227457359,0.9742260777,0.9671189972,0.9808623368,0.8210758361,0.7979801958,0.8444663217,0.1975057042,0.1887849330,0.2062815438,0.0396191530,0.0323650361,0.0482085196,true
timesfm_3,dispersed_delayed_pulse,192,-0.3894811638,0.9880550295,0.9754559593,0.9958702586,0.7084302235,0.6153476340,0.7881307267,0.2597529284,0.2340944871,0.2822546784,0.0863869630,0.0742553053,0.0983091651,false
timesfm_3,rate_asymmetric_hysteresis,192,-0.2494765614,0.9094554730,0.8888397479,0.9282639093,0.6844916175,0.6424671900,0.7338879099,0.3502132255,0.3179802455,0.3721357685,-0.0407083397,-0.0761756255,-0.0214912907,false
timesfm_3,two_covariate_synergy,192,-0.4613618151,0.8127542163,0.7706086206,0.8526229745,0.6984207764,0.6070973267,0.7722929319,0.3037453409,0.2370396110,0.3744695936,0.0874101131,0.0704209524,0.1043628818,false
