backbone,dataset,family,n,source_clusters,dsa,dsa_lower,rgr,rgr_lower,rgr_upper,d1,d1_lower,d2,d4,d8,g,g_lower,relative_sql,relative_wql,sham_ratio,lower_dsa,lower_rgr,lower_d1,lower_g,lower_relative_sql,complete_cell
chronos_2,traffic_daily,biphasic_rebound,96,32,0.9510018627206128,0.9315234216015467,0.6904589451334794,0.6613432802855504,0.7421456047609667,0.2609127381762776,0.24586443264117042,0.24045078116012472,0.21339498388678713,0.18499424263171363,0.11589722032190371,0.09047105102392144,-0.4731357536611072,-0.46040856374259,0.20549087048815576,0.9198717948717949,0.6938484768148647,0.32075591563436484,0.08009577145667567,,True
chronos_2,traffic_daily,dispersed_delayed_pulse,95,32,0.9698615419668051,0.9564063914611453,0.7503186607171876,0.689233411344782,0.7999788598416656,0.2601110416699533,0.24544263054483972,0.2553634008876258,0.20291482714395756,0.1459372290590582,0.11059208481511694,0.08918869321644551,-0.45901553854178,-0.45508070100428094,0.20026291211147618,1.0,0.8620928792408538,0.27179071201528743,0.1135758497292287,,True
chronos_2,workload_5min,biphasic_rebound,95,32,0.6950911661437976,0.6222549165291099,0.41276391999228895,0.28873647753666876,0.5626241064439272,0.6123896496126842,0.5370809673231229,0.5664648246132163,0.49489596306747413,0.38095238095238093,0.13628958157688686,0.08562659376531684,-0.05485777084167773,0.1159233305394457,0.3546847271418443,0.7416666666666667,0.6727788718859229,0.6503185646771674,0.1338041000619523,,False
chronos_2,workload_5min,dispersed_delayed_pulse,96,32,0.8133219789469791,0.7320034891323953,0.4167480760066149,0.27257798268751343,0.5817596592154306,0.500001614071125,0.40865302020621513,0.4557289243522509,0.40533667701766074,0.30278920529170433,0.16506161261553925,0.12156403135594052,-0.059573546533194736,0.13959060249677133,0.5348439100925637,0.9128787878787878,0.8086247509767521,0.5515675511870762,0.16225528993450733,,False
chronos_2,solar_10min,biphasic_rebound,95,32,0.57451995373048,0.5202018415281993,0.07823299370129778,0.06873609218370458,0.09777265364578054,0.628272096038889,0.6107261862983087,0.5969107986120561,0.5436766715366699,0.5102040816326531,0.10381343220561812,0.0800598498095767,-0.03931945916141601,-0.0558088204570834,0.14888871555879057,0.5,0.10686546685077365,0.6795633691016434,0.13408231007387905,,False
chronos_2,solar_10min,dispersed_delayed_pulse,94,32,0.4000006494687345,0.3316956537614432,0.042055707215357105,0.03253782744934517,0.054890003901827474,0.7758199846944438,0.6765001209817401,0.7591323479409847,0.7350121172341363,0.6806293651165188,0.03622777291579127,0.004420838579934916,0.008220425805907714,-0.004399307664930296,0.12281777052137868,0.23076923076923078,0.07147226885171258,0.8398656096562814,0.04240521774137773,,False
timesfm_3,traffic_daily,biphasic_rebound,96,32,0.9669268520831021,0.9541188650758963,0.7950692457626168,0.7386775728886014,0.8518246291454825,0.26048637675211794,0.2329971462272617,0.2399121973529189,0.21002067439030783,0.16492254023813646,0.08534296510172366,0.06938502231413068,-0.5085495887469984,-0.49077521553034403,0.05539446787512092,1.0,0.7676815549613811,0.2869579083645746,0.06881026068586728,,True
timesfm_3,traffic_daily,dispersed_delayed_pulse,95,32,0.986118209276104,0.9732161366525643,0.4897186684189704,0.35311990424831535,0.7222763729080215,0.3457014589079933,0.31916998334472513,0.3336050101359273,0.29607059000823344,0.1998773951427254,0.10463685765085728,0.09349219996084346,-0.36758277481604207,-0.3381826652124187,0.08073180316924598,1.0,0.37196895961362736,0.37468036824837614,0.1204528787673223,,False
timesfm_3,workload_5min,biphasic_rebound,95,32,0.7463768103241787,0.6860913226185403,0.1873781501880421,0.1302698158564934,0.3023135973430443,0.578667712002274,0.5315478450090743,0.527887366132738,0.45523817329057076,0.3544797735903815,0.14994150850311572,0.12330816706055142,-0.09222378853616596,-0.01603605930207446,0.09185391194196263,0.75,0.2832459976936392,0.6233325269383263,0.1584485242441724,,False
timesfm_3,workload_5min,dispersed_delayed_pulse,96,32,0.7745314003126502,0.6828331585948775,0.04863959177722864,0.028527147942261032,0.06524873337343524,0.6992328831862762,0.5894650210417871,0.6487198322172709,0.5769971275435735,0.49149646134702746,0.11022754499410292,0.07163453314968318,-0.04811286440390986,0.04704508364641306,0.13129325990210824,1.0,0.10408939412379783,0.6754575163311883,0.1379614606711751,,False
timesfm_3,solar_10min,biphasic_rebound,95,32,0.6533611125716389,0.6049448050287478,0.3479320860695131,0.21727158976980962,0.6062231970195652,0.5710917303598029,0.5137000136674936,0.5374419450258769,0.49793904141524126,0.33342558454280147,0.17145059901604548,0.12486786899351021,0.03132596472785576,0.0188098933223894,0.22226140759062257,0.6666666666666666,0.5251185303979364,0.5873680379584634,0.15421070307760948,,False
timesfm_3,solar_10min,dispersed_delayed_pulse,94,32,0.5635892771531069,0.4791041302078536,0.055249635161907035,0.038528395643597155,0.07899148659266438,0.7857142514563051,0.7077265372025235,0.7828222406427423,0.7850179263023135,0.7234455042418955,0.013811539384008531,0.00010784146537179407,0.058246680554707025,0.07324134016043349,0.1263522579057996,0.6666666666666666,0.09645671893945067,0.8251969990600483,0.02180766686509039,,False
